Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,16818.900390625,16880.0,16685.150390625,16714.150390625,16714.150390625,10434000
2013-12-13,16656.05078125,16706.44921875,16558.44921875,16622.94921875,16622.94921875,10791000
2013-12-16,16600.75,16636.0,16413.099609375,16501.849609375,16501.849609375,9157000
2013-12-17,16582.19921875,16631.650390625,16490.69921875,16612.19921875,16612.19921875,11971000
2013-12-18,16611.900390625,16704.44921875,16547.400390625,16675.19921875,16675.19921875,14399000
2013-12-19,16740.44921875,16763.19921875,16510.900390625,16617.0,16617.0,13866000
2013-12-20,16638.30078125,16775.849609375,16500.69921875,16750.69921875,16750.69921875,20861000
2013-12-23,16677.400390625,16861.69921875,16677.400390625,16811.349609375,16811.349609375,13429000
2013-12-24,16841.599609375,16867.94921875,16779.55078125,16811.94921875,16811.94921875,10999000
2013-12-26,16829.900390625,16937.150390625,16802.5,16853.650390625,16853.650390625,25688000
2013-12-27,16894.349609375,17021.80078125,16874.849609375,16975.75,16975.75,11961000
2013-12-30,16977.25,17067.19921875,16908.900390625,17020.150390625,17020.150390625,9999000
2013-12-31,17066.94921875,17080.099609375,16966.44921875,17024.099609375,17024.099609375,8586000
2014-01-01,17054.599609375,17109.099609375,17031.599609375,17050.44921875,17050.44921875,4728000
2014-01-02,17036.599609375,17159.150390625,16703.0,16719.599609375,16719.599609375,9511000
2014-01-03,16712.5,16807.400390625,16571.599609375,16768.400390625,16768.400390625,13511000
2014-01-06,16805.75,16851.25,16730.849609375,16816.5,16816.5,10919000
2014-01-07,16847.44921875,16892.25,16691.900390625,16801.19921875,16801.19921875,9746000
2014-01-08,16835.30078125,16871.55078125,16734.75,16837.0,16837.0,10243000
2014-01-09,16834.599609375,16834.599609375,16668.75,16745.349609375,16745.349609375,9667000
2014-01-10,16818.849609375,17072.900390625,16685.30078125,16969.69921875,16969.69921875,12351000
2014-01-13,17003.849609375,17088.19921875,16928.349609375,16990.75,16990.75,10116000
2014-01-14,17005.349609375,17147.75,16923.69921875,16942.75,16942.75,10168000
2014-01-15,16969.30078125,17108.30078125,16836.05078125,17087.099609375,17087.099609375,11992000
2014-01-16,17086.55078125,17158.599609375,16864.599609375,16942.05078125,16942.05078125,10114000
2014-01-17,16958.05078125,17022.19921875,16855.599609375,16923.849609375,16923.849609375,13811000
2014-01-20,16923.30078125,17137.44921875,16850.099609375,17122.0,17122.0,12895000
2014-01-21,17135.55078125,17192.69921875,17061.099609375,17088.5,17088.5,12376000
2014-01-22,17078.0,17088.849609375,16872.400390625,17074.05078125,17074.05078125,22189000
2014-01-23,17036.5,17158.19921875,16984.849609375,17113.849609375,17113.849609375,15252000
2014-01-24,17056.150390625,17143.25,16837.900390625,16886.44921875,16886.44921875,12718000
2014-01-27,16731.05078125,16880.650390625,16654.75,16826.69921875,16826.69921875,15517000
2014-01-28,16841.849609375,16942.30078125,16622.099609375,16899.849609375,16899.849609375,20442000
2014-01-29,16936.94921875,16996.69921875,16877.900390625,16904.900390625,16904.900390625,13267000
2014-01-30,16740.0,16797.75,16509.30078125,16763.349609375,16763.349609375,21372000
2014-01-31,16784.599609375,16876.94921875,16719.80078125,16861.19921875,16861.19921875,13819000
2014-02-03,16793.19921875,16879.25,16696.94921875,16709.900390625,16709.900390625,11056000
2014-02-04,16633.25,16871.0,16541.25,16849.75,16849.75,17265000
2014-02-05,16770.30078125,16829.19921875,16600.5,16679.400390625,16679.400390625,13041000
2014-02-06,16727.599609375,16952.25,16614.19921875,16925.75,16925.75,15352000
